relative_path,primary_category,secondary_category,status,risk_level,recommended_target_path,notes
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094935.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094939.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094941.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094943.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094948.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_094953.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095003.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095006.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095035.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095037.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095041.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095044.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095359.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095432.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095442.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095448.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095500.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095504.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095509.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095515.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095519.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095521.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095541.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095546.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095553.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095609.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095611.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095629.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095646.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095648.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095652.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095743.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095745.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095755.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095758.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_095805.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100026.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100031.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100035.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100054.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100056.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100104.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100157.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100200.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100204.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100208.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100210.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100214.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100218.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100233.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100236.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100239.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100250.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100252.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100300.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100303.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100310.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100314.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100330.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100358.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100418.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100421.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100514.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100517.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100522.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100536.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100701.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100703.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100719.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100728.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100809.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_100820.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_101011.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_101031.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102216.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102219.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102231.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102251.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102254.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102311.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102348.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102350.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102356.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102400.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102404.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102823.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102826.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102850.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102852.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102917.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_102920.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103002.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103004.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103013.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103217.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103238.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103309.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103330.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103342.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103353.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103358.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103401.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103406.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103453.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103606.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103612.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103629.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103631.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103643.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103653.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_103656.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_104124.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_104131.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_104135.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_104141.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110144.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110313.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110314.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110321.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110323.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110418.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110420.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110427.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110453.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110542.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110544.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110553.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110554.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110555.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110647.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_110649.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_111255.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_111258.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_111305.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_111307.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_111915.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
archive/raw_unprocessed/Rice___Healthy/IMG_20190419_111926.jpg,archive_candidate,external_artifact,historical_but_keep,low,archive/,"Historical backups, raw zips, and early colab scripts."
