width,height,aspect_ratio,file_size_kb,mean_r,mean_g,mean_b,brightness,contrast,sharpness,bg_luminance,class_label,source,filename
224,224,1.0,15.8,111.19,118.42,82.62,112.18,60.58,90.08,110.31,blast,RiceDisease_Unknown,blast_train_00543
224,224,1.0,20.2,123.32,120.74,86.55,117.62,41.53,215.28,87.9,blast,RiceDisease_Unknown,blast_train_00031
224,224,1.0,17.0,63.54,67.68,59.14,65.47,36.84,221.35,56.55,blast,RiceDisease_Unknown,blast_train_00465
224,224,1.0,14.1,104.6,94.15,69.86,94.51,34.27,33.02,117.43,blast,RiceDisease_Unknown,blast_val_00114
224,224,1.0,17.6,156.37,168.76,103.29,157.59,50.67,153.2,105.64,blast,RiceDisease_Unknown,blast_test_00093
224,224,1.0,12.1,95.84,138.5,88.5,120.04,20.65,12.62,151.88,blast,RiceDisease_Unknown,blast_test_00098
224,224,1.0,20.8,107.42,106.67,57.18,101.25,46.08,323.94,114.66,blast,RiceDisease_Unknown,blast_train_00121
224,224,1.0,13.2,87.59,76.13,41.63,75.63,35.21,53.49,81.29,blast,RiceDisease_Unknown,blast_val_00065
224,224,1.0,13.3,87.59,76.15,41.6,75.63,35.21,53.98,81.28,blast,RiceDisease_Unknown,blast_train_00343
224,224,1.0,20.1,68.2,76.43,47.55,70.68,36.08,257.4,42.54,blast,RiceDisease_Unknown,blast_val_00049
224,224,1.0,11.6,128.44,135.4,114.77,130.97,63.46,26.71,167.49,blast,RiceDisease_Unknown,blast_train_00024
224,224,1.0,13.3,123.1,146.88,75.91,131.68,35.08,51.08,120.45,blast,RiceDisease_Unknown,blast_train_00232
224,224,1.0,19.4,115.47,127.47,94.89,120.17,45.29,159.41,141.21,blast,RiceDisease_Unknown,blast_train_00487
224,224,1.0,22.3,106.69,140.28,80.68,123.44,46.92,368.73,138.52,blast,RiceDisease_Unknown,blast_test_00134
224,224,1.0,16.7,73.66,159.09,21.69,117.88,34.4,73.74,104.37,blast,RiceDisease_Unknown,blast_train_00071
224,224,1.0,18.2,121.86,132.22,85.63,123.81,52.86,173.11,118.5,blast,RiceDisease_Unknown,blast_train_00603
224,224,1.0,22.0,103.45,126.75,47.71,110.77,58.32,311.63,108.58,blast,RiceDisease_Unknown,blast_train_00108
224,224,1.0,18.4,90.43,107.57,83.91,99.75,49.59,208.1,86.18,blast,RiceDisease_Unknown,blast_train_00623
224,224,1.0,9.6,110.26,156.67,51.06,130.75,22.66,4.1,144.49,blast,RiceDisease_Unknown,blast_train_00166
224,224,1.0,15.0,128.89,137.73,88.77,129.51,50.49,169.25,108.22,blast,RiceDisease_Unknown,blast_test_00015
224,224,1.0,16.6,82.5,102.09,76.27,93.29,38.38,166.25,64.59,blast,RiceDisease_Unknown,blast_val_00037
224,224,1.0,14.7,121.74,122.14,87.71,118.1,35.4,28.45,120.33,blast,RiceDisease_Unknown,blast_train_00317
224,224,1.0,14.2,141.34,143.28,130.16,141.2,52.4,75.27,160.15,blast,RiceDisease_Unknown,blast_train_00060
224,224,1.0,10.6,92.15,133.76,78.6,115.03,25.07,8.53,151.03,blast,RiceDisease_Unknown,blast_train_00169
224,224,1.0,12.2,102.98,144.92,90.24,126.15,37.74,21.01,54.8,blast,RiceDisease_Unknown,blast_test_00101
224,224,1.0,17.1,139.5,148.65,112.36,141.78,67.71,248.76,142.84,blast,RiceDisease_Unknown,blast_train_00530
224,224,1.0,19.5,120.95,118.64,92.88,116.4,56.53,171.58,104.29,blast,RiceDisease_Unknown,blast_train_00040
224,224,1.0,12.8,118.77,130.69,77.57,121.07,44.79,10.0,136.12,blast,RiceDisease_Unknown,blast_train_00663
224,224,1.0,18.1,120.12,112.11,82.53,111.13,56.35,151.12,116.78,blast,RiceDisease_Unknown,blast_train_00650
224,224,1.0,16.9,134.61,156.63,128.28,146.81,33.73,123.83,135.59,blast,RiceDisease_Unknown,blast_train_00159
224,224,1.0,18.3,90.59,107.49,83.79,99.73,49.57,200.92,85.97,blast,RiceDisease_Unknown,blast_test_00130
224,224,1.0,13.1,105.91,112.7,94.79,108.63,53.16,173.0,94.76,blast,RiceDisease_Unknown,blast_train_00291
224,224,1.0,10.5,92.11,133.78,78.61,115.03,25.08,8.66,151.26,blast,RiceDisease_Unknown,blast_train_00137
224,224,1.0,15.2,128.86,137.75,88.67,129.5,50.48,174.38,108.26,blast,RiceDisease_Unknown,blast_val_00079
224,224,1.0,19.5,121.02,118.62,93.03,116.42,56.55,180.05,104.41,blast,RiceDisease_Unknown,blast_train_00666
224,224,1.0,13.0,118.8,130.71,77.51,121.08,44.79,10.92,136.08,blast,RiceDisease_Unknown,blast_test_00072
224,224,1.0,17.0,63.53,67.7,59.18,65.48,36.88,225.63,56.54,blast,RiceDisease_Unknown,blast_test_00094
224,224,1.0,15.0,86.68,103.2,61.26,93.48,40.64,50.4,107.74,blast,RiceDisease_Unknown,blast_train_00245
224,224,1.0,13.4,123.11,146.82,76.03,131.66,35.11,51.49,120.59,blast,RiceDisease_Unknown,blast_train_00299
224,224,1.0,12.9,105.83,112.67,94.74,108.58,53.19,174.21,94.77,blast,RiceDisease_Unknown,blast_train_00440
224,224,1.0,19.9,103.63,143.52,73.79,123.64,39.19,210.23,122.55,blast,RiceDisease_Unknown,blast_train_00524
224,224,1.0,16.9,134.6,156.62,128.28,146.81,33.73,124.68,135.57,blast,RiceDisease_Unknown,blast_train_00140
224,224,1.0,16.9,134.61,156.63,128.28,146.81,33.72,124.46,135.6,blast,RiceDisease_Unknown,blast_val_00034
224,224,1.0,17.4,69.3,96.31,47.01,82.62,36.57,322.79,98.32,blast,RiceDisease_Unknown,blast_train_00668
224,224,1.0,20.2,123.28,120.76,86.55,117.62,41.53,217.04,87.91,blast,RiceDisease_Unknown,blast_train_00077
224,224,1.0,12.2,127.23,157.68,123.3,144.66,20.1,11.71,158.88,blast,RiceDisease_Unknown,blast_train_00261
224,224,1.0,14.7,64.92,67.72,39.3,63.64,49.94,132.54,64.58,blast,RiceDisease_Unknown,blast_train_00236
224,224,1.0,15.3,124.97,133.28,80.31,124.75,46.23,156.57,86.49,blast,RiceDisease_Unknown,blast_val_00085
224,224,1.0,10.8,22.58,45.14,29.1,36.57,42.08,208.98,29.31,blast,RiceDisease_Unknown,blast_train_00175
224,224,1.0,10.9,22.59,45.13,29.09,36.56,42.08,208.06,29.17,blast,RiceDisease_Unknown,blast_train_00267
224,224,1.0,14.2,134.06,137.38,112.75,133.58,40.17,41.2,146.76,blast,RiceDisease_Unknown,blast_train_00458
224,224,1.0,25.6,82.0,125.63,56.79,104.74,43.65,355.11,100.79,blast,RiceDisease_Unknown,blast_train_00064
224,224,1.0,16.7,73.68,159.05,21.74,117.87,34.42,73.55,104.49,blast,RiceDisease_Unknown,blast_test_00034
224,224,1.0,18.0,121.83,132.24,85.64,123.82,52.85,168.78,118.3,blast,RiceDisease_Unknown,blast_train_00550
224,224,1.0,18.5,112.59,124.32,87.37,116.6,50.02,133.59,80.58,blast,RiceDisease_Unknown,blast_train_00576
224,224,1.0,16.6,82.5,102.09,76.27,93.29,38.38,167.92,64.65,blast,RiceDisease_Unknown,blast_val_00121
224,224,1.0,17.7,143.33,120.52,103.27,125.37,37.83,144.2,138.33,blast,RiceDisease_Unknown,blast_train_00651
224,224,1.0,17.2,102.52,112.33,59.93,103.42,42.3,113.32,102.45,blast,RiceDisease_Unknown,blast_train_00636
224,224,1.0,14.9,86.59,103.21,61.22,93.45,40.64,49.79,107.62,blast,RiceDisease_Unknown,blast_train_00324
224,224,1.0,14.5,143.07,137.57,119.35,137.13,64.39,49.43,134.48,blast,RiceDisease_Unknown,blast_val_00017
224,224,1.0,14.4,125.82,170.47,104.02,149.54,32.4,54.53,159.99,blast,RiceDisease_Unknown,blast_train_00449
224,224,1.0,18.8,112.56,124.35,87.32,116.6,50.02,139.99,80.45,blast,RiceDisease_Unknown,blast_train_00089
224,224,1.0,19.4,115.49,127.48,94.88,120.18,45.3,160.82,141.16,blast,RiceDisease_Unknown,blast_train_00661
224,224,1.0,18.3,172.3,152.15,96.1,151.79,48.63,188.19,153.53,blast,RiceDisease_Unknown,blast_train_00210
224,224,1.0,11.6,128.43,135.41,114.76,130.97,63.46,26.87,167.57,blast,RiceDisease_Unknown,blast_test_00100
224,224,1.0,15.5,94.77,107.0,63.79,98.41,48.73,28.17,129.16,blast,RiceDisease_Unknown,blast_train_00282
224,224,1.0,19.3,121.09,118.61,93.01,116.43,56.51,168.67,104.43,blast,RiceDisease_Unknown,blast_train_00500
224,224,1.0,15.9,111.26,118.39,82.54,112.17,60.56,89.37,110.36,blast,RiceDisease_Unknown,blast_train_00494
224,224,1.0,20.6,84.54,99.41,60.35,90.51,55.6,245.56,96.47,blast,RiceDisease_Unknown,blast_train_00255
224,224,1.0,12.1,102.92,144.9,90.26,126.12,37.73,21.07,54.66,blast,RiceDisease_Unknown,blast_train_00596
224,224,1.0,16.7,134.62,156.61,128.29,146.8,33.72,119.05,135.63,blast,RiceDisease_Unknown,blast_train_00622
224,224,1.0,14.4,103.22,109.96,78.4,104.35,35.8,41.7,127.48,blast,RiceDisease_Unknown,blast_val_00057
224,224,1.0,15.8,115.08,122.0,91.28,116.43,43.56,74.52,134.59,blast,RiceDisease_Unknown,blast_val_00009
224,224,1.0,15.2,125.12,133.22,80.38,124.78,46.25,152.2,86.66,blast,RiceDisease_Unknown,blast_train_00097
224,224,1.0,22.3,106.61,140.31,80.74,123.44,46.92,376.71,138.61,blast,RiceDisease_Unknown,blast_train_00606
224,224,1.0,11.9,110.88,149.04,82.69,130.07,29.83,224.08,130.73,blast,RiceDisease_Unknown,blast_train_00424
224,224,1.0,18.5,120.09,112.14,82.73,111.16,56.33,154.85,117.0,blast,RiceDisease_Unknown,blast_val_00143
224,224,1.0,15.2,78.78,92.83,63.35,85.27,52.33,115.47,82.77,blast,RiceDisease_Unknown,blast_train_00519
224,224,1.0,14.7,121.8,122.15,87.69,118.12,35.4,29.05,120.55,blast,RiceDisease_Unknown,blast_val_00099
224,224,1.0,21.6,98.02,134.86,66.16,116.01,40.75,226.01,105.49,blast,RiceDisease_Unknown,blast_train_00287
224,224,1.0,13.2,87.59,76.15,41.6,75.63,35.21,53.88,81.29,blast,RiceDisease_Unknown,blast_train_00598
224,224,1.0,14.1,104.6,94.17,69.85,94.51,34.26,31.8,117.5,blast,RiceDisease_Unknown,blast_val_00091
224,224,1.0,14.5,143.1,137.53,119.31,137.12,64.38,48.54,134.45,blast,RiceDisease_Unknown,blast_train_00073
224,224,1.0,13.4,123.05,146.87,75.97,131.66,35.11,51.62,120.39,blast,RiceDisease_Unknown,blast_train_00560
224,224,1.0,14.7,121.75,122.12,87.62,118.08,35.4,28.86,120.52,blast,RiceDisease_Unknown,blast_train_00045
224,224,1.0,11.7,110.23,137.76,66.06,121.35,26.96,195.66,93.55,blight,RiceDisease_Unknown,blight_test_00154
224,224,1.0,17.9,90.47,120.74,51.31,103.78,38.0,220.93,107.75,blight,RiceDisease_Unknown,blight_train_00332
224,224,1.0,21.4,116.7,144.04,68.02,127.2,50.6,339.71,137.52,blight,RiceDisease_Unknown,blight_val_00108
224,224,1.0,19.9,98.97,100.92,65.97,96.35,51.96,238.5,82.54,blight,RiceDisease_Unknown,blight_train_00412
224,224,1.0,19.7,116.74,111.96,90.04,110.89,61.69,302.54,101.74,blight,RiceDisease_Unknown,blight_test_00114
224,224,1.0,25.1,91.96,121.02,54.46,104.74,54.32,602.14,97.41,blight,RiceDisease_Unknown,blight_train_00852
224,224,1.0,20.3,134.22,137.96,130.77,136.02,42.04,247.35,136.27,blight,RiceDisease_Unknown,blight_train_00248
224,224,1.0,21.6,116.64,144.03,67.98,127.17,50.61,341.01,137.56,blight,RiceDisease_Unknown,blight_train_00859
224,224,1.0,19.5,96.62,92.24,67.3,90.71,61.78,436.34,110.23,blight,RiceDisease_Unknown,blight_train_00299
224,224,1.0,25.2,92.06,121.0,54.52,104.77,54.32,592.24,97.43,blight,RiceDisease_Unknown,blight_train_00554
224,224,1.0,13.4,145.76,159.84,87.17,147.34,33.96,26.77,95.2,blight,RiceDisease_Unknown,blight_train_00454
224,224,1.0,16.8,92.03,131.27,54.93,110.83,47.08,44.67,111.1,blight,RiceDisease_Unknown,blight_test_00101
224,224,1.0,19.7,96.81,92.13,67.49,90.72,61.77,436.36,110.19,blight,RiceDisease_Unknown,blight_train_00066
224,224,1.0,31.3,108.33,138.02,62.21,120.5,65.5,1355.59,139.81,blight,RiceDisease_Unknown,blight_train_00045
224,224,1.0,22.0,122.95,129.55,102.87,124.53,47.48,400.27,108.18,blight,RiceDisease_Unknown,blight_train_00240
224,224,1.0,16.1,141.7,139.14,68.62,131.87,52.42,50.52,150.69,blight,RiceDisease_Unknown,blight_train_00362
224,224,1.0,22.4,125.85,115.33,95.67,116.23,67.88,552.26,121.31,blight,RiceDisease_Unknown,blight_train_00733
224,224,1.0,19.4,80.08,101.9,42.1,88.56,51.82,228.37,88.42,blight,RiceDisease_Unknown,blight_train_00487
224,224,1.0,19.6,108.17,125.8,83.51,115.71,57.6,119.16,92.49,blight,RiceDisease_Unknown,blight_train_00241
224,224,1.0,20.1,107.25,132.69,67.23,117.62,51.27,104.42,118.12,blight,RiceDisease_Unknown,blight_train_00747
224,224,1.0,22.0,107.8,127.62,50.18,112.86,31.22,346.32,126.44,blight,RiceDisease_Unknown,blight_train_00549
224,224,1.0,12.1,99.83,135.25,31.14,112.79,29.72,6.91,111.02,blight,RiceDisease_Unknown,blight_train_00351
224,224,1.0,22.4,125.98,115.3,95.76,116.27,67.85,552.28,121.14,blight,RiceDisease_Unknown,blight_val_00081
224,224,1.0,15.7,143.95,154.68,128.37,148.47,57.7,180.64,112.29,blight,RiceDisease_Unknown,blight_train_00527
224,224,1.0,18.9,115.48,147.22,63.01,128.13,52.52,197.66,106.27,blight,RiceDisease_Unknown,blight_test_00168
224,224,1.0,19.0,112.53,117.97,76.91,111.66,78.11,158.94,100.15,blight,RiceDisease_Unknown,blight_train_00124
224,224,1.0,20.9,95.81,122.41,53.37,106.59,47.08,545.43,88.37,blight,RiceDisease_Unknown,blight_train_00835
224,224,1.0,21.6,116.74,144.05,67.94,127.21,50.61,340.29,137.6,blight,RiceDisease_Unknown,blight_train_00234
224,224,1.0,23.7,83.53,114.75,51.53,98.21,53.63,247.66,77.22,blight,RiceDisease_Unknown,blight_val_00039
224,224,1.0,16.2,143.43,172.73,123.84,158.4,40.53,130.2,152.67,blight,RiceDisease_Unknown,blight_train_00583
224,224,1.0,29.8,107.14,146.37,58.82,124.66,59.79,1043.98,72.11,blight,RiceDisease_Unknown,blight_train_00102
224,224,1.0,19.8,116.04,108.58,78.18,107.35,57.77,281.73,97.29,blight,RiceDisease_Unknown,blight_val_00001
224,224,1.0,19.1,112.48,117.98,76.95,111.66,78.13,158.84,100.15,blight,RiceDisease_Unknown,blight_train_00723
224,224,1.0,19.0,112.48,117.98,77.01,111.66,78.12,156.55,100.14,blight,RiceDisease_Unknown,blight_train_00129
224,224,1.0,21.9,107.7,127.74,49.99,112.89,31.23,343.68,126.24,blight,RiceDisease_Unknown,blight_val_00192
224,224,1.0,17.4,95.49,131.49,55.95,112.11,41.72,195.88,108.93,blight,RiceDisease_Unknown,blight_val_00061
224,224,1.0,20.0,99.03,100.85,65.98,96.33,51.97,232.36,82.57,blight,RiceDisease_Unknown,blight_train_00052
224,224,1.0,27.1,153.37,181.22,89.01,162.38,40.05,1115.88,164.02,blight,RiceDisease_Unknown,blight_train_00829
224,224,1.0,18.5,137.98,140.13,84.28,133.12,51.0,105.64,145.44,blight,RiceDisease_Unknown,blight_val_00132
224,224,1.0,12.2,99.84,135.23,31.08,112.78,29.74,7.09,111.07,blight,RiceDisease_Unknown,blight_test_00121
224,224,1.0,11.8,110.26,137.77,66.06,121.37,26.95,192.32,93.54,blight,RiceDisease_Unknown,blight_train_00428
224,224,1.0,21.9,156.6,135.5,82.04,135.72,40.41,381.89,116.88,blight,RiceDisease_Unknown,blight_test_00096
224,224,1.0,19.7,116.78,111.92,90.12,110.89,61.67,302.81,101.77,blight,RiceDisease_Unknown,blight_test_00042
224,224,1.0,24.1,124.45,167.85,71.33,143.87,58.07,381.22,128.93,blight,RiceDisease_Unknown,blight_train_00024
224,224,1.0,15.9,143.45,172.75,123.85,158.41,40.47,126.32,152.67,blight,RiceDisease_Unknown,blight_train_00552
224,224,1.0,31.6,108.38,137.98,61.87,120.45,65.57,1362.85,139.73,blight,RiceDisease_Unknown,blight_test_00171
224,224,1.0,17.3,126.71,131.99,112.48,128.19,49.14,158.3,88.29,blight,RiceDisease_Unknown,blight_train_00304
224,224,1.0,16.8,91.97,131.28,54.9,110.82,47.09,42.99,110.94,blight,RiceDisease_Unknown,blight_train_00044
224,224,1.0,14.5,135.49,158.57,116.59,146.88,54.67,12.87,138.08,blight,RiceDisease_Unknown,blight_train_00712
224,224,1.0,13.0,129.64,136.2,62.89,125.88,24.01,30.23,129.28,blight,RiceDisease_Unknown,blight_test_00061
224,224,1.0,18.6,147.08,148.85,100.92,142.86,65.62,138.46,121.06,blight,RiceDisease_Unknown,blight_train_00262
224,224,1.0,15.5,124.0,146.41,104.83,134.97,57.12,19.25,124.31,blight,RiceDisease_Unknown,blight_train_00722
224,224,1.0,16.8,96.8,135.68,57.71,115.17,45.66,45.34,105.47,blight,RiceDisease_Unknown,blight_train_00082
224,224,1.0,26.1,102.22,127.72,58.52,112.21,55.87,631.49,87.21,blight,RiceDisease_Unknown,blight_train_00064
224,224,1.0,15.1,101.01,167.15,34.45,132.25,39.43,37.46,114.92,blight,RiceDisease_Unknown,blight_train_00297
224,224,1.0,19.5,123.14,114.93,87.44,114.25,61.24,137.36,117.99,blight,RiceDisease_Unknown,blight_train_00535
224,224,1.0,22.5,163.15,151.43,95.1,148.51,46.88,171.84,125.88,blight,RiceDisease_Unknown,blight_train_00079
224,224,1.0,15.0,150.82,190.54,81.97,166.29,53.9,47.57,136.55,blight,RiceDisease_Unknown,blight_test_00178
224,224,1.0,17.8,90.46,120.77,51.3,103.79,38.0,222.07,107.56,blight,RiceDisease_Unknown,blight_train_00728
224,224,1.0,27.2,153.38,181.25,89.05,162.41,40.08,1123.83,163.93,blight,RiceDisease_Unknown,blight_train_00546
224,224,1.0,22.6,80.06,110.92,64.55,96.41,54.15,214.97,81.89,blight,RiceDisease_Unknown,blight_train_00283
224,224,1.0,11.4,110.31,137.73,66.03,121.36,26.94,200.54,93.65,blight,RiceDisease_Unknown,blight_train_00222
224,224,1.0,19.6,123.13,114.98,87.43,114.28,61.25,142.63,118.1,blight,RiceDisease_Unknown,blight_train_00523
224,224,1.0,27.7,117.86,127.77,65.98,117.76,51.84,577.91,133.42,blight,RiceDisease_Unknown,blight_train_00271
224,224,1.0,19.6,108.17,125.78,83.57,115.7,57.6,120.47,92.44,blight,RiceDisease_Unknown,blight_val_00164
224,224,1.0,17.5,95.46,131.53,55.77,112.11,41.72,193.74,108.91,blight,RiceDisease_Unknown,blight_val_00056
224,224,1.0,24.2,89.41,85.59,74.69,85.49,56.04,641.08,60.8,blight,RiceDisease_Unknown,blight_val_00184
224,224,1.0,21.5,152.04,137.8,92.75,136.92,55.82,424.99,98.96,blight,RiceDisease_Unknown,blight_train_00603
224,224,1.0,23.8,83.52,114.72,51.49,98.18,53.62,247.77,77.34,blight,RiceDisease_Unknown,blight_train_00495
224,224,1.0,19.6,107.95,103.7,67.54,100.85,46.37,362.81,96.58,blight,RiceDisease_Unknown,blight_test_00037
224,224,1.0,22.0,107.64,127.76,50.01,112.88,31.27,344.85,126.41,blight,RiceDisease_Unknown,blight_test_00089
224,224,1.0,19.6,107.94,103.68,67.6,100.84,46.38,360.38,96.39,blight,RiceDisease_Unknown,blight_train_00709
224,224,1.0,13.0,129.67,136.19,62.93,125.89,23.99,29.04,129.56,blight,RiceDisease_Unknown,blight_train_00863
224,224,1.0,21.5,116.78,144.02,68.1,127.22,50.59,342.75,137.66,blight,RiceDisease_Unknown,blight_train_00033
224,224,1.0,18.6,147.15,148.84,100.85,142.86,65.64,137.67,121.31,blight,RiceDisease_Unknown,blight_train_00077
224,224,1.0,22.2,79.53,91.48,33.99,81.35,49.67,296.83,76.5,blight,RiceDisease_Unknown,blight_test_00181
224,224,1.0,19.8,116.09,108.57,78.19,107.35,57.75,270.55,97.28,blight,RiceDisease_Unknown,blight_train_00679
224,224,1.0,20.2,122.88,110.56,69.79,109.6,41.5,346.45,111.86,blight,RiceDisease_Unknown,blight_train_00576
224,224,1.0,21.5,90.93,94.18,57.64,89.04,75.66,198.53,108.82,blight,RiceDisease_Unknown,blight_train_00429
224,224,1.0,21.7,156.58,135.49,82.05,135.7,40.45,380.89,116.92,blight,RiceDisease_Unknown,blight_train_00368
224,224,1.0,25.9,102.22,127.74,58.76,112.25,55.82,637.91,87.17,blight,RiceDisease_Unknown,blight_train_00255
224,224,1.0,22.5,80.14,110.91,64.74,96.44,54.1,211.86,82.15,blight,RiceDisease_Unknown,blight_train_00366
224,224,1.0,16.7,91.89,131.3,54.9,110.81,47.08,43.06,111.09,blight,RiceDisease_Unknown,blight_train_00382
224,224,1.0,19.6,108.16,125.79,83.52,115.7,57.6,120.34,92.47,blight,RiceDisease_Unknown,blight_val_00055
224,224,1.0,22.1,107.67,127.73,49.93,112.86,31.32,349.64,126.36,blight,RiceDisease_Unknown,blight_val_00116
224,224,1.0,20.4,104.84,127.67,65.61,113.77,55.25,130.55,94.45,blight,RiceDisease_Unknown,blight_train_00721
224,224,1.0,25.9,102.13,127.79,58.56,112.22,55.9,643.29,87.02,blight,RiceDisease_Unknown,blight_test_00146
224,224,1.0,21.6,152.11,137.79,92.76,136.94,55.8,425.68,98.97,blight,RiceDisease_Unknown,blight_train_00595
224,224,1.0,19.7,107.96,103.66,67.6,100.84,46.38,361.72,96.4,blight,RiceDisease_Unknown,blight_train_00885
224,224,1.0,18.9,115.46,147.21,63.04,128.12,52.51,205.49,106.16,blight,RiceDisease_Unknown,blight_test_00155
224,224,1.0,20.6,104.84,127.69,65.7,113.79,55.21,133.25,94.42,blight,RiceDisease_Unknown,blight_train_00448
224,224,1.0,22.0,122.87,129.58,102.89,124.53,47.47,402.06,108.22,blight,RiceDisease_Unknown,blight_train_00463
224,224,1.0,28.9,109.66,151.53,59.28,128.5,56.67,775.26,92.84,blight,RiceDisease_Unknown,blight_train_00440
224,224,1.0,16.9,91.95,131.27,54.92,110.81,47.1,44.41,111.0,blight,RiceDisease_Unknown,blight_train_00221
224,224,1.0,23.0,115.38,143.21,66.34,126.12,49.09,380.73,123.22,blight,RiceDisease_Unknown,blight_train_00746
224,224,1.0,24.0,124.48,167.83,71.36,143.87,58.03,393.08,128.7,blight,RiceDisease_Unknown,blight_train_00266
224,224,1.0,22.2,125.99,115.29,95.67,116.25,67.85,544.87,121.25,blight,RiceDisease_Unknown,blight_train_00059
224,224,1.0,22.4,80.09,110.92,64.72,96.43,54.08,214.75,82.05,blight,RiceDisease_Unknown,blight_test_00102
224,224,1.0,15.9,143.45,172.71,123.81,158.39,40.5,126.13,152.56,blight,RiceDisease_Unknown,blight_train_00507
224,224,1.0,20.2,107.29,132.67,67.27,117.63,51.26,103.39,118.15,blight,RiceDisease_Unknown,blight_train_00812
224,224,1.0,23.9,114.23,159.12,29.79,130.95,59.13,250.19,129.11,brown_spot,RiceDisease_Unknown,brown_spot_test_00159
224,224,1.0,10.3,114.76,154.73,72.31,133.38,15.26,4.9,151.51,brown_spot,RiceDisease_Unknown,brown_spot_val_00026
224,224,1.0,17.3,117.68,161.81,90.0,140.43,30.31,108.85,162.33,brown_spot,RiceDisease_Unknown,brown_spot_train_00102
224,224,1.0,18.5,83.11,103.41,57.96,92.16,56.3,383.12,50.92,brown_spot,RiceDisease_Unknown,brown_spot_train_00440
224,224,1.0,11.6,102.43,153.42,72.94,129.0,24.85,19.51,153.65,brown_spot,RiceDisease_Unknown,brown_spot_train_00059
224,224,1.0,11.5,118.51,160.06,80.74,138.6,20.07,35.75,163.36,brown_spot,RiceDisease_Unknown,brown_spot_test_00101
224,224,1.0,16.1,119.55,178.61,22.64,143.17,36.98,133.99,152.72,brown_spot,RiceDisease_Unknown,brown_spot_train_00324
224,224,1.0,14.8,122.26,160.28,82.52,140.05,26.52,70.22,168.44,brown_spot,RiceDisease_Unknown,brown_spot_val_00135
224,224,1.0,13.1,122.73,141.0,61.19,126.44,40.91,42.51,117.55,brown_spot,RiceDisease_Unknown,brown_spot_train_00412
224,224,1.0,24.7,140.72,182.82,43.72,154.37,56.27,294.84,178.61,brown_spot,RiceDisease_Unknown,brown_spot_val_00016
224,224,1.0,16.5,118.0,152.77,89.78,135.19,19.68,138.77,161.41,brown_spot,RiceDisease_Unknown,brown_spot_train_00821
224,224,1.0,18.1,105.52,144.51,76.13,125.06,30.85,83.88,149.09,brown_spot,RiceDisease_Unknown,brown_spot_train_00045
224,224,1.0,25.9,105.84,128.03,64.17,114.12,54.19,604.04,127.45,brown_spot,RiceDisease_Unknown,brown_spot_train_00050
224,224,1.0,13.8,102.33,129.55,62.33,113.75,17.28,60.41,126.58,brown_spot,RiceDisease_Unknown,brown_spot_val_00010
224,224,1.0,15.3,131.38,158.44,79.57,141.36,24.77,177.47,148.4,brown_spot,RiceDisease_Unknown,brown_spot_train_00241
224,224,1.0,17.5,112.38,159.39,73.01,135.49,29.24,82.87,166.72,brown_spot,RiceDisease_Unknown,brown_spot_train_00171
224,224,1.0,10.7,126.49,164.37,90.21,144.59,22.46,8.93,163.05,brown_spot,RiceDisease_Unknown,brown_spot_train_00524
224,224,1.0,11.9,115.61,141.74,122.92,131.78,31.97,117.52,126.19,brown_spot,RiceDisease_Unknown,brown_spot_train_00766
