sample_id,cohort,ground_truth,lesion_area,bg_type,notes,mode_a_diag,mode_a_state,mode_a_conf,mode_a_margin,mode_b_diag,mode_b_state,mode_b_conf,mode_b_margin,sym_diag,sym_state,sym_conf,asym_diag,asym_state,asym_conf,asym_margin,asym_reason,view1_foliage,view1_blur,view2_foliage,view2_blur,gap_dilution_mode_a,gap_dilution_mode_b,gap_dilution_sym,gap_dilution_asym
test4.png,failure_focused,healthy,0.0%,Uncontrolled tabletop,healthy_leaf_blade,healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.705,322.8,0.945,862.2,False,False,False,False
ricetest1.webp,failure_focused,non_potato (rice_leaf),N/A (Non-Potato),Waterlogged rice field,rice_blast_lesion,healthy,accepted,0.9943,0.9887,late_blight,accepted,0.9426,0.8884,uncertain,uncertain,0.5243,late_blight,accepted,0.9426,0.8884,FOCAL_DISEASE_OVERRIDE,0.837,101.9,0.851,350.3,False,False,False,False
ricetest2.webp,failure_focused,non_potato (rice_leaf),N/A (Non-Potato),Flooded field vegetation,rice_brown_spot,healthy,accepted,1.0,1.0,healthy,accepted,0.6729,0.4644,healthy,accepted,0.8364,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.92,242.1,0.935,505.3,False,False,False,False
ricetest3.webp,failure_focused,non_potato (rice_leaf),N/A (Non-Potato),Flooded field vegetation,rice_bacterial_blight,healthy,accepted,1.0,1.0,healthy,accepted,0.9999,0.9998,healthy,accepted,0.9999,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.972,314.5,0.99,559.3,False,False,False,False
ricetest4.jpg,failure_focused,non_potato (rice_leaf),N/A (Non-Potato),Outdoor plant canopy,rice_healthy_foliage,healthy,accepted,0.9998,0.9995,healthy,accepted,1.0,1.0,healthy,accepted,0.9999,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.996,320.5,0.992,872.7,False,False,False,False
ricetest5.png,failure_focused,non_potato (rice_leaf),N/A (Non-Potato),Outdoor plant canopy,rice_healthy_blade,healthy,accepted,0.9999,0.9997,healthy,accepted,1.0,1.0,healthy,accepted,0.9999,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.811,339.8,0.99,1117.8,False,False,False,False
ricetest6.png,failure_focused,non_potato (rice_leaf),N/A (Non-Potato),Outdoor plant canopy,sparse_rice_seedling,abstain,unsupported_input,0.9932,0.9885,healthy,accepted,0.9968,0.994,abstain,unsupported_input,0.0,abstain,unsupported_input,0.0,0.0,View 1 Quality Rejected: Insufficient foliage (3.1% < 5.0%),0.031,63.8,0.088,124.8,False,False,False,False
synthetic_blank_desk,failure_focused,unusable_scene (blank_wood),0.0%,Empty brown wood texture,none,abstain,unsupported_input,0.8896,0.8312,abstain,unsupported_input,0.8896,0.8312,abstain,unsupported_input,0.0,abstain,unsupported_input,0.0,0.0,View 1 Quality Rejected: Insufficient foliage (0.0% < 5.0%),0.0,0.0,0.0,0.0,False,False,False,False
synthetic_white_sheet,failure_focused,unusable_scene (white_paper),0.0%,Solid white paper,none,abstain,unsupported_input,0.6833,0.5079,abstain,unsupported_input,0.6833,0.5079,abstain,unsupported_input,0.0,abstain,unsupported_input,0.0,0.0,View 1 Quality Rejected: Insufficient foliage (0.0% < 5.0%),0.0,0.0,0.0,0.0,False,False,False,False
synthetic_blurred_scene,failure_focused,unusable_scene (severe_blur),0.0%,Severe optical blur (var < 5),none,abstain,unsupported_input,0.828,0.6983,abstain,unsupported_input,0.828,0.6983,abstain,unsupported_input,0.0,abstain,unsupported_input,0.0,0.0,View 1 Quality Rejected: Severe image blur (var 0.0 < 40.0),1.0,0.0,1.0,0.0,False,False,False,False
val_early_blight_67372.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.992,0.9841,early_blight,accepted,0.996,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.512,6361.7,0.973,9774.8,False,False,False,False
val_early_blight_67379.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.7605,0.5236,early_blight,accepted,0.8802,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.494,3200.5,0.781,4537.3,False,False,False,False
val_early_blight_67381.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9995,0.999,early_blight,accepted,0.9997,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.522,3506.9,0.916,4792.6,False,False,False,False
val_early_blight_67383.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.576,4497.2,0.961,6189.5,False,False,False,False
val_early_blight_67385.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9967,0.9944,early_blight,accepted,0.9983,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.581,4571.7,0.932,6488.6,False,False,False,False
val_early_blight_67388.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9915,0.9831,early_blight,accepted,0.9957,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.474,2363.9,0.79,4018.8,False,False,False,False
val_early_blight_67392.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.518,5166.1,0.954,7990.7,False,False,False,False
val_early_blight_67394.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9051,0.8104,early_blight,accepted,0.9526,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.324,3673.3,0.604,5238.1,False,False,False,False
val_early_blight_67397.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.525,4696.5,0.973,6943.5,False,False,False,False
val_early_blight_67401.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.577,4929.8,0.91,8071.4,False,False,False,False
val_early_blight_67402.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9974,0.9948,early_blight,accepted,0.9987,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.542,4149.2,0.872,8268.9,False,False,False,False
val_early_blight_67407.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.476,5571.4,0.792,7485.6,False,False,False,False
val_early_blight_67409.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9983,0.9966,early_blight,accepted,0.9991,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.567,5798.9,0.971,8055.3,False,False,False,False
val_early_blight_67414.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9999,0.9999,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.558,2793.5,0.827,4403.6,False,False,False,False
val_early_blight_67416.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.8626,0.7252,early_blight,accepted,0.9313,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.491,4763.3,0.853,5226.9,False,False,False,False
val_early_blight_67421.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.462,4611.5,0.914,7375.2,False,False,False,False
val_early_blight_67437.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,1.0,early_blight,accepted,1.0,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.479,5485.7,0.946,8601.1,False,False,False,False
val_early_blight_67438.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.7568,0.5139,early_blight,accepted,0.8784,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.371,5009.3,0.598,7311.4,False,False,False,False
val_early_blight_67440.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9921,0.9874,early_blight,accepted,0.996,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.599,3827.7,0.956,3344.5,False,False,False,False
val_early_blight_67448.jpg,validation_stratified,early_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (early_blight),early_blight,accepted,1.0,1.0,early_blight,accepted,0.9998,0.9997,early_blight,accepted,0.9999,early_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.525,2069.9,0.941,3279.6,False,False,False,False
val_healthy_108778.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,0.9975,0.9955,healthy,accepted,0.9988,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.869,333.0,0.953,424.8,False,False,False,False
val_healthy_108779.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,0.9997,0.9994,healthy,accepted,0.9998,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.252,670.0,0.145,644.0,False,False,False,False
val_healthy_108781.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,0.9999,0.9998,healthy,accepted,0.9999,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.946,970.1,0.995,1177.2,False,False,False,False
val_healthy_108800.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.847,295.7,0.933,322.9,False,False,False,False
val_healthy_108802.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.993,1154.4,1.0,2035.6,False,False,False,False
val_healthy_108806.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.984,705.6,1.0,1431.0,False,False,False,False
val_healthy_108814.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.745,726.4,0.855,1082.2,False,False,False,False
val_healthy_108816.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,0.9999,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.508,547.3,0.739,870.6,False,False,False,False
val_healthy_108832.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,0.9999,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.521,304.3,0.452,637.0,False,False,False,False
val_healthy_108839.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.974,1409.0,0.999,2065.2,False,False,False,False
val_healthy_108850.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.914,370.6,1.0,520.7,False,False,False,False
val_healthy_108853.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.723,247.3,0.911,509.7,False,False,False,False
val_healthy_108863.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.998,295.8,0.997,409.1,False,False,False,False
val_healthy_108868.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.649,1063.9,0.449,2336.7,False,False,False,False
val_healthy_108890.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,0.9968,0.9937,healthy,accepted,0.9984,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.794,617.5,0.996,834.6,False,False,False,False
val_healthy_108895.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.909,882.1,0.998,1287.7,False,False,False,False
val_healthy_108896.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,0.9999,0.9998,healthy,accepted,0.9969,0.9939,healthy,accepted,0.9984,healthy,accepted,0.9999,0.9998,CONSENSUS_AGREEMENT,0.254,183.8,0.248,163.5,False,False,False,False
val_healthy_108907.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,1.0,1.0,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.778,996.4,0.915,1159.5,False,False,False,False
val_healthy_108908.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,0.9998,0.9997,healthy,accepted,0.9999,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.545,905.7,0.758,1090.7,False,False,False,False
val_healthy_108910.jpg,validation_stratified,healthy,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (healthy),healthy,accepted,1.0,1.0,healthy,accepted,0.9999,0.9998,healthy,accepted,1.0,healthy,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.985,806.1,1.0,777.8,False,False,False,False
val_late_blight_100000.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,healthy,accepted,0.9926,0.9855,uncertain,uncertain,0.5002,uncertain,uncertain,1.0,0.9855,DIVERGENCE_RECAPTURE_NEEDED,0.707,414.4,0.99,334.3,False,True,False,False
val_late_blight_100001.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,0.9977,0.9955,late_blight,accepted,0.9988,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.551,458.9,0.843,339.3,False,False,False,False
val_late_blight_100004.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,1.0,1.0,late_blight,accepted,1.0,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.573,353.7,0.834,424.0,False,False,False,False
val_late_blight_100011.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,healthy,accepted,0.9438,0.8991,uncertain,uncertain,0.5224,uncertain,uncertain,1.0,0.8991,DIVERGENCE_RECAPTURE_NEEDED,0.724,727.5,0.986,766.5,False,True,False,False
val_late_blight_100013.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,0.9675,0.935,late_blight,accepted,0.9837,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.649,482.3,0.714,368.5,False,False,False,False
val_late_blight_100014.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,0.9923,0.985,late_blight,accepted,0.9962,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.446,338.1,0.755,388.9,False,False,False,False
val_late_blight_100019.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,healthy,accepted,0.9988,0.9976,uncertain,uncertain,0.5006,uncertain,uncertain,1.0,0.9976,DIVERGENCE_RECAPTURE_NEEDED,0.649,334.0,1.0,220.9,False,True,False,False
val_late_blight_100020.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,0.706,0.4121,late_blight,accepted,0.853,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.455,394.5,0.41,423.4,False,False,False,False
val_late_blight_100022.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,uncertain,uncertain,0.5479,0.0971,late_blight,accepted,0.7254,uncertain,uncertain,1.0,0.0971,DIVERGENCE_RECAPTURE_NEEDED,0.59,100.2,0.897,63.8,False,False,False,False
val_late_blight_100030.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,0.9971,0.9942,late_blight,accepted,0.9986,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.518,373.1,0.952,242.7,False,False,False,False
val_late_blight_100046.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,healthy,accepted,1.0,1.0,uncertain,uncertain,0.5,uncertain,uncertain,1.0,1.0,DIVERGENCE_RECAPTURE_NEEDED,0.583,273.6,0.991,176.6,False,True,False,False
val_late_blight_100062.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,0.9792,0.9584,late_blight,accepted,0.9896,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.528,407.7,0.642,260.5,False,False,False,False
val_late_blight_100069.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,healthy,accepted,0.728,0.459,late_blight,accepted,0.6345,uncertain,uncertain,1.0,0.459,DIVERGENCE_RECAPTURE_NEEDED,0.683,222.8,0.993,125.5,False,True,False,False
val_late_blight_100082.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,uncertain,uncertain,0.5643,0.129,late_blight,accepted,0.7177,uncertain,uncertain,1.0,0.129,DIVERGENCE_RECAPTURE_NEEDED,0.65,225.9,0.979,134.7,False,False,False,False
val_late_blight_100085.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,1.0,1.0,late_blight,accepted,1.0,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.746,381.6,0.998,131.6,False,False,False,False
val_late_blight_100086.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,1.0,1.0,late_blight,accepted,1.0,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.592,508.5,0.966,444.5,False,False,False,False
val_late_blight_100087.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,healthy,accepted,0.9569,0.92,uncertain,uncertain,0.5031,uncertain,uncertain,1.0,0.92,DIVERGENCE_RECAPTURE_NEEDED,0.572,319.6,0.943,404.6,False,True,False,False
val_late_blight_100125.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),abstain,unsupported_input,1.0,1.0,abstain,unsupported_input,0.9994,0.9991,abstain,unsupported_input,0.0,abstain,unsupported_input,0.0,0.0,View 1 Quality Rejected: Severe image blur (var 33.3 < 40.0),0.617,33.3,0.997,15.6,False,False,False,False
val_late_blight_100127.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,0.9814,0.9627,late_blight,accepted,0.9907,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.638,328.1,0.936,332.1,False,False,False,False
val_late_blight_100129.jpg,validation_stratified,late_blight,Canonical Leaf,Neutral Laboratory Canvas,Validation split sample (late_blight),late_blight,accepted,1.0,1.0,late_blight,accepted,0.802,0.6074,late_blight,accepted,0.901,late_blight,accepted,1.0,1.0,CONSENSUS_AGREEMENT,0.611,139.0,0.894,56.9,False,False,False,False
